id	value
0 	5859
1 	11683
2 	11967
3 	11718
4 	11700
5 	11546
6 	11788
7 	11216
8 	11062
9 	11152
10 	10702
11 	10636
12 	10319
13 	10294
14 	9938
15 	9576
16 	9473
17 	9108
18 	8840
19 	8594
20 	8341
21 	8158
22 	7817
23 	7581
24 	7472
25 	7250
26 	7001
27 	6503
28 	6413
29 	6051
30 	5901
31 	5630
32 	5463
33 	5347
34 	5047
35 	4854
36 	4807
37 	4556
38 	4324
39 	4074
40 	4002
41 	3878
42 	3709
43 	3383
44 	3337
45 	3321
46 	3054
47 	3048
48 	2824
49 	2673
50 	2649
51 	2480
52 	2293
53 	2216
54 	2175
55 	2054
56 	1991
57 	1787
58 	1812
59 	1728
60 	1722
61 	1632
62 	1501
63 	1457
64 	1411
65 	1343
66 	1270
67 	1154
68 	1144
69 	1131
70 	1041
71 	1039
72 	993
73 	947
74 	843
75 	872
76 	826
77 	762
78 	757
79 	705
80 	652
81 	626
82 	623
83 	553
84 	570
85 	547
86 	545
87 	468
88 	462
89 	451
90 	445
91 	420
92 	413
93 	358
94 	394
95 	347
96 	315
97 	334
98 	303
99 	272
